x,y
4.371,28.8478
5.1746,38.1262
0.9392,3.7605
8.3345,87.1327
7.3847,70.3025
5.4917,42.142
8.7867,95.7802
0.1507,1.3242
5.045,36.5418
0.6832,2.8333
5.1342,37.6289
8.6534,93.1888
4.2035,27.0766
6.4035,54.8125
1.5478,6.4914
6.5329,56.7449
2.6212,13.1132
8.9944,99.888
8.0769,82.3905
2.5709,12.7512
4.072,25.725
3.501,20.2588
3.2022,17.6584
1.2282,4.965
7.3762,70.1601
9.6154,112.6869
6.8897,62.248
5.9325,48.0593
9.4839,109.9112
6.4353,55.284
7.5333,72.8173
9.1578,103.1802
6.5338,56.7576
4.3673,28.8078
1.3746,5.6389
1.6084,6.8037
2.6469,13.3002
0.3689,1.8738
4.924,35.0934
2.6236,13.1307
8.4589,89.4712
5.6662,44.4386
1.7022,7.3019
0.0808,1.1682
6.0542,49.7622
0.2892,1.662
4.4167,29.3405
6.3732,54.3638
4.4006,29.1661
4.0496,25.4984
